participant_id,timestamp_ms,event_type,study_state,condition_index,block_number,condition_block_index,blocks_per_condition,trial_in_block,global_trial_number,technique,size_level,spacing_level,x,y,captured_target_id,goal_target_id,is_goal_selection,wrong_target_clicks,miss_clicks,path_length_px
2,1772906651535,practice_intro,rest,,,,,0,0,,,,,,,-1,,0,0,0
2,1772906683785,practice_block_start,running,PRACTICE,0,1,3,0,0,POINT,L,MED,,,,-1,,0,0,0
2,1772906683785,trial_start,running,PRACTICE,0,1,3,1,0,POINT,L,MED,,,,13,,0,0,0
2,1772906687070,practice_trial_success,running,PRACTICE,0,1,3,1,0,POINT,L,MED,507,450.625,13,13,1,0,0,313.204
2,1772906687070,trial_start,running,PRACTICE,0,1,3,2,0,POINT,L,MED,,,,19,,0,0,0
2,1772906687843,practice_trial_success,running,PRACTICE,0,1,3,2,0,POINT,L,MED,139,40.625,19,19,1,0,0,599.631
2,1772906687843,trial_start,running,PRACTICE,0,1,3,3,0,POINT,L,MED,,,,25,,0,0,0
2,1772906688434,practice_trial_success,running,PRACTICE,0,1,3,3,0,POINT,L,MED,127,351.625,25,25,1,0,0,678.857
2,1772906688434,trial_start,running,PRACTICE,0,1,3,4,0,POINT,L,MED,,,,19,,0,0,0
2,1772906688983,practice_trial_success,running,PRACTICE,0,1,3,4,0,POINT,L,MED,148,59.625,19,19,1,0,0,366.21
2,1772906688983,trial_start,running,PRACTICE,0,1,3,5,0,POINT,L,MED,,,,6,,0,0,0
2,1772906689410,practice_trial_success,running,PRACTICE,0,1,3,5,0,POINT,L,MED,219,345.625,6,6,1,0,0,331.175
2,1772906689410,practice_block_end,running,PRACTICE,0,1,3,5,0,POINT,L,MED,,,,6,,0,0,331.175
2,1772906689410,intro_screen,rest,PRACTICE,0,1,3,5,0,POINT,L,MED,,,,-1,,0,0,331.175
2,1772906692272,block_start,running,0,1,1,3,0,0,POINT,M,TIGHT,,,,-1,,0,0,331.175
2,1772906692272,trial_start,running,0,1,1,3,1,1,POINT,M,TIGHT,,,,13,,0,0,0
2,1772906693774,trial_success,running,0,1,1,3,1,1,POINT,M,TIGHT,574,29.625,13,13,1,0,0,337.3
