participant_id,participant_order_group,run_start_iso,session_tag,condition_index,factor_condition_id,block_number,condition_block_index,blocks_per_condition,technique,technique_order_index,technique_block_condition_index,size_level,radius_px,spacing_level,min_sep_px,num_targets,canvas_w,canvas_h,trial_in_block,global_trial_number,goal_target_id,goal_x,goal_y,prev_goal_x,prev_goal_y,A_px,W_px,ID_bits,time_ms,wrong_target_clicks,miss_clicks,total_errors,path_length_px,throughput_bps,trial_start_timestamp_ms,trial_end_timestamp_ms,last_click_x,last_click_y,captured_target_id_correct_click
2,2,2026-03-07T18:04:11.534Z,20260307_130411,0,POINT_M_TIGHT,1,1,3,POINT,0,0,M,16,TIGHT,8,30,960,500,1,1,13,572.356,36.233,480,250,232.864,32,3.049,1502,0,0,0,337.3,2.03,1772906692272,1772906693774,574,29.625,13
2,2,2026-03-07T18:04:11.534Z,20260307_130411,0,POINT_M_TIGHT,1,1,3,POINT,0,0,M,16,TIGHT,8,30,960,500,2,2,4,844.728,190.665,572.356,36.233,313.106,32,3.431,682,0,0,0,755.753,5.031,1772906693774,1772906694456,847,179.625,4
2,2,2026-03-07T18:04:11.534Z,20260307_130411,0,POINT_M_TIGHT,1,1,3,POINT,0,0,M,16,TIGHT,8,30,960,500,3,3,3,328.539,142.651,844.728,190.665,518.417,32,4.104,622,0,0,0,563.336,6.599,1772906694456,1772906695078,319,132.625,3
2,2,2026-03-07T18:04:11.534Z,20260307_130411,0,POINT_M_TIGHT,1,1,3,POINT,0,0,M,16,TIGHT,8,30,960,500,4,4,11,265.604,284.45,328.539,142.651,155.138,32,2.548,540,0,0,0,321.714,4.718,1772906695078,1772906695618,264,282.625,11
2,2,2026-03-07T18:04:11.534Z,20260307_130411,0,POINT_M_TIGHT,1,1,3,POINT,0,0,M,16,TIGHT,8,30,960,500,5,5,1,628.046,307.063,265.604,284.45,363.148,32,3.626,522,0,0,0,398.137,6.947,1772906695619,1772906696141,636,305.625,1
2,2,2026-03-07T18:04:11.534Z,20260307_130411,0,POINT_M_TIGHT,2,2,3,POINT,0,0,M,16,TIGHT,8,30,960,500,1,6,24,75.867,354.454,480,250,417.413,32,3.812,906,0,0,0,406.115,4.207,1772906697922,1772906698828,81,352.625,24
2,2,2026-03-07T18:04:11.534Z,20260307_130411,0,POINT_M_TIGHT,2,2,3,POINT,0,0,M,16,TIGHT,8,30,960,500,2,7,10,382.181,430.532,75.867,354.454,315.62,32,3.441,558,0,0,0,403.61,6.167,1772906698828,1772906699386,379,434.625,10
2,2,2026-03-07T18:04:11.534Z,20260307_130411,0,POINT_M_TIGHT,2,2,3,POINT,0,0,M,16,TIGHT,8,30,960,500,3,8,13,465.096,197.055,382.181,430.532,247.763,32,3.128,534,0,0,0,272.674,5.858,1772906699386,1772906699920,467,194.625,13
2,2,2026-03-07T18:04:11.534Z,20260307_130411,0,POINT_M_TIGHT,2,2,3,POINT,0,0,M,16,TIGHT,8,30,960,500,4,9,19,859.165,424.575,465.096,197.055,455.034,32,3.928,612,0,0,0,513.535,6.418,1772906699920,1772906700532,853,423.625,19
2,2,2026-03-07T18:04:11.534Z,20260307_130411,0,POINT_M_TIGHT,2,2,3,POINT,0,0,M,16,TIGHT,8,30,960,500,5,10,15,866.18,162.783,859.165,424.575,261.886,32,3.199,616,0,0,0,816.937,5.193,1772906700532,1772906701148,865,163.625,15
